Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-634,MAQI CHEMICAL INDUSTRIES,(PVT) LTD 93 INDUSTRIAL ESTATE KOT LAKHPAT,,5118949,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS"
NEW-635,MEDICEENA PHARMA (PVT) LTD.,27-KM RAIWIND ROAD,,"5321479, 5321380",,DRUGS & PHARMACEUTICALS,"TABLETS , CAPSULES, DRY POWDER"
NEW-636,MEDIPAK LTD,132/1 INDUSTRIAL AREA KOT LAKHPAT,,5116612-14,,DRUGS & PHARMACEUTICALS,"TABLETS, INJECTIONS, OINTMENTS"
NEW-637,MEDIPHARM (PVT) LTD,108 INDUSTRIAL AREA KOT LAKHPAT,,111-444-600,,DRUGS & PHARMACEUTICALS,"TABLETS,  CREAM"
NEW-638,MEGA PHARMACEUTICALS LTD.,27-KM RAIWIND ROAD,,5322541-3,,DRUGS & PHARMACEUTICALS,"TABLETS , CAPSULES, DRY POWDER"
NEW-639,MIAN BROTHERS,LABORATORIES (PVT) LTD 112/1 INDUSTRIAL AREA KOT LAKHPAT,,5111147,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS"
NEW-640,MICKO INDUSTRIAL CHEMICALS CO. (PVT) LTD.,28-KM FEROZEPUR ROAD,,7153089,,DRUGS & PHARMACEUTICALS,"SYRUPS, POWDER"
NEW-641,MUNAWAR PHARMA 31-KM FEROZEPUR ROAD,,,5270973,,DRUGS & PHARMACEUTICALS,"TABLETS,        SYRUPS"
NEW-642,NAWABSONS LABORATORIES (PVT) LTD,7-A FRIENDS COLONY MULTAN ROAD,,7561743,,DRUGS & PHARMACEUTICALS,"SYRUP, TABLETS"
NEW-643,NENSER AMPOULES (PVT) LTD,19 KM FEROZEPUR ROAD,,5830252-5830258,,DRUGS & PHARMACEUTICALS,"INJECTIONS, TABLETS"
NEW-644,OBSONS PHAMACEUTICAL,209/S INDUSTRIAL ESTATE KOT LAKPHAT,,5121638,,DRUGS & PHARMACEUTICALS,"TABLETS, SYRUPS, CAPSULES"
NEW-645,OKAY PHARMACEUTICAL (PVT) LTD.,RAIWIND ROAD,,,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS, CAPSULES"
NEW-646,ORIENT LABORATORIES (PVT) LTD.,2-A NEW TOWN MULTAN ROAD,,7355374,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-647,ORTA LABORATORIES (PVT) LTD,92-C MODEL TOWN,,,,DRUGS & PHARMACEUTICALS,SYRUPS
NEW-648,OVAL PHARMACEUTICAL 112/11 INDUSTRIAL AREA TOWNSHIP,,,5111238,,DRUGS & PHARMACEUTICALS,CAPSULES
NEW-649,P.D.H. PHARMACEUTICALS (PVT) LTD.,19-KM MAIN FEROZEPUR ROAD,,"111-225-555
www.pdhpharma.com",,DRUGS & PHARMACEUTICALS,"TABLETS, CAPSULES"
NEW-650,PACIFIC PHARMACEUTICALS LTD.,"29TH KM., MULTAN ROAD",,"7540491-3
www.pacificpharmaceutic als.com",,DRUGS & PHARMACEUTICALS,"CAPSULES, TABLETS, OINTMENTS"
NEW-651,PAK HEIM INT'L PHARMA 28-KM FEROZEPUR ROAD,,,5274242,,DRUGS & PHARMACEUTICALS,"CAPSULES, TABLETS"
NEW-652,PAKISTAN PESTICIDES (PVT) LTD.,105-KATAR BUND ROAD THOKER NIAZ BAIG,,,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-653,PHARMA GENERAL BXIMCO LTD.,FEROZEPUR ROAD,,2418632,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS, CAPSULES"
NEW-654,PHARMA GENERAL LTD.,34-KM FEROZEPUR ROAD,,5270928-9,,DRUGS & PHARMACEUTICALS,POWDER
NEW-655,PHARMA WISE LAB. (PVT) LTD.,", 25-KM INDUSTRIAL. ESTATE KOT LAKHPAT",,5120719-21,,DRUGS & PHARMACEUTICALS,"TABLESTS, SYRUPS, POWDER"
NEW-656,PHARMACARE PVT.,"LTD. 129/1-INDUSTRIAL ESTATE, KOT LAKHPAT",,5118801-3,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-657,PHARMEDIC PVT.,"LTD. 18 KM., MULTAN ROAD",,7511861,,DRUGS & PHARMACEUTICALS,"INJECTIONS , TABLETS"
NEW-658,POPULAR CHEMICAL WORKS (PVT) LTD.,9-KM SHEIKHUPURA ROAD,,"111-111-105
www.popularchemicals.c om",,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS, CAPSULES"
NEW-659,RASCO PHARMA 5.5-KM RAIWIND ROAD,,,5321715,,DRUGS & PHARMACEUTICALS,"TABLETS, CAPSULES"
NEW-660,REKO PHARMACAL PVT.,"LTD. 13 KM., MULTAN ROAD",,5421201-3,,DRUGS & PHARMACEUTICALS,"SYRUPS , INJECTIONS , TABLETS , CAPSULES"
NEW-661,REMINGTON PHARMACEUTICAL INDUSTRIES,(PVT) LTD. 117 ALLAMA IQBAL ROAD,,"6306210, 6363760",,DRUGS & PHARMACEUTICALS,"SYRUPS , TABLETS, EYE DROPS"
NEW-662,RENACON PHARMA,18 KM FEROZEPUR ROAD,,"5811971, 5812057",,DRUGS & PHARMACEUTICALS,SYRUPS
NEW-663,SAPIANT PHARMA 123 INDUSTRIAL ESTATE KOT LAKHPAT,,,5119985,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-664,SCHAZOO LABORATORIES (PVT) LTD,45- G T ROAD,,6818450-4 111-666-600,,DRUGS & PHARMACEUTICALS,"SYRUPS , TABLETS , CAPSULES"
NEW-665,SEENA LAB. 16-CHOHAN ROAD ISLAMPURA,,,7223926,,DRUGS & PHARMACEUTICALS,POWDER
NEW-666,SELMOR PHARMACEUTICALS (PVT) LTD.,36-KM MULTAN ROAD,,5380381,,DRUGS & PHARMACEUTICALS,"INJECTIONS, POWDER"
NEW-667,SHAROOQ PHARMA (PVT) LTD.,21-KM FEROZEPUR ROAD,,5274026,,DRUGS & PHARMACEUTICALS,"TABLETS,    CAPSULES"
NEW-668,SHIFA LABORATORIES (PVT) LTD,39-INDUSTRIAL ESTATE GULBERG,,5803434,,DRUGS & PHARMACEUTICALS,"TABLETS, CAPSULES"
NEW-669,SIZA INTERNATIONAL (PVT) LTD,18 KM FEROZEPUR ROAD,,5811172,,DRUGS & PHARMACEUTICALS,"INJECTIONS, TABLETS"
NEW-670,SOMA LABORATORIES SAMANABAD,,,7588615,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-671,SPECTURM LABORATORIES PVT.,"LTD. 8 KM., RAIWIND ROAD BHOPTIAN",,5320241 7564567,,DRUGS & PHARMACEUTICALS,"SYRUPS , TABLETS"
NEW-672,STAND PHARMA PAKISTAN (PVT) LTD,20 KM FEROZEPUR ROAD,,5270152-5271240,,DRUGS & PHARMACEUTICALS,"TABLETS,       SYRUPS, INJECTION"
NEW-673,STAR LABORATORIES PVT.,LTD. 21 KM MULTAN ROAD,,5839331,,DRUGS & PHARMACEUTICALS,"SYRUPS , INJECTIONS , TABLETS"
NEW-674,SULSON PHARMAS 17 OLD F C C FEROZEPUR ROAD,,,5757569-5713048,,DRUGS & PHARMACEUTICALS,DISTILLED WATER
NEW-675,SYMANS PHARMA (PVT) LTD.,25-LOWER MALL,,7248226,,DRUGS & PHARMACEUTICALS,TABLETS
NEW-676,SYNCHRO PHARMACEUTICAL PLOT # 77 INDUSTRIAL. ESTATE KOT LAKHPAT,,,5410756-75,,DRUGS & PHARMACEUTICALS,CAPSULES
NEW-677,TRIGON PHARMACEUTICALS (PVT) LTD.,", 8TH K.M. THOKHAR NIAZ BAIG, MULTAN ROAD,",,35321177,,DRUGS & PHARMACEUTICALS,SYRUP TABLETS CAPSULES
NEW-678,UNITED DRUG COMPANY SAMANABAD,,,5420744,,DRUGS & PHARMACEUTICALS,SYRUPS
NEW-679,VEGA PHARMACEUTICALS (PVT) LTD.,30-KM MULTAN ROAD,,7541464,,DRUGS & PHARMACEUTICALS,"TABLETS,     CAPSULES, OINTMENTS"
NEW-680,VENUS PHARMA 23 KM MULTAN ROAD,,,5839527,,DRUGS & PHARMACEUTICALS,INJECTIONS
NEW-681,WILSHIRE LABORATORIES 124/1,"INDUSTRIAL AREA, KOT LAKHPAT",,7322270 5116685,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS"
NEW-682,WYETH  LABORATORIES PAKISTAN LTD,10-11 INDUSTRIAL AREA,,5757058-5757061,,DRUGS & PHARMACEUTICALS,"INJECTIONS, TABLETS, CAPSULES"
NEW-683,ZACO PHARMA PAKISTAN REGD. 120-H MODEL TOWN,,,5885120,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS"
NEW-684,ZEB LABORATORIES (PVT) LTD,33-A  LOMNESCIAL AREA,,7542890-91,,DRUGS & PHARMACEUTICALS,"SYRUPS, TABLETS, CAPSULES, OINTMENTS"
