Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-502,KHALID COLD STORAGE NEAR RAVI BRIDGE,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-503,KHOKHAR COLD STORAGE BHANI ROAD SHADIPURA MAHMOOD BOOTI BUND,,,6596052,,COLD STORAGE,VEGITABLES / FRUITS
NEW-504,KISAN COLD STORAGE MAHMOOD BOOTI BUND ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-505,LASANI COLD STORAGE,BUND ROAD,,6826190,,COLD STORAGE,VEGITABLES / FRUITS
NEW-506,MADINA COLD STORAGE BHOGIWAL  BUND ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-507,MIAN JAVAID COLD STORAGE 20 KM FEROZEPURA ROAD,,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-508,MIAN MUHAMMAD HANIF & SONS,KOT LAKHPAT,,,,COLD STORAGE,VEGITABLES / FRUITS
NEW-509,MODERN COLD STORAGE HANIF PARK BADAMI BAGH,,,6262171,,COLD STORAGE,VEGITABLES / FRUITS
NEW-510,MURAD COLD STORAGE BHOGIWAL ROAD BAGHBANPURA,,,6849845,,COLD STORAGE,VEGITABLES / FRUITS
NEW-511,MUSHTAQ COLD STORAGE,"NEW BHOGIWAL ROAD, BAGHBANPURA",,6812930,,COLD STORAGE,VEGITABLES / FRUITS
NEW-512,N.S. COLD STORAGE BUND ROAD,,,7343356,,COLD STORAGE,VEGITABLES / FRUITS
NEW-513,NAWAZ SHAH SHAHBAZ COLD STORAGE FRUIT MARKET BADAMIBAGH,,,7724461,,COLD STORAGE,VEGITABLES / FRUITS
NEW-514,NEW KASHMIR COLD STORAGE BUND ROAD AMER ROAD,,,7605105,,COLD STORAGE,VEGITABLES / FRUITS
NEW-515,NEW MUSHTAQ COLD STORAGE,"BHANI ROAD, NEW GANJA SINDHU",,6545091,,COLD STORAGE,VEGITABLES / FRUITS
NEW-516,NEW PAK GHAZI COLD STORAGE FRUIT MANDI,,,,,COLD STORAGE,VEGITABLES / FRUITS
