Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1293,ARSHAD STEEL ROLLING MILLS,"SHALIMAR TOWN, LAKHODAIR",,6550698,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1294,ARYAN STEEL INDUATRIES (PVT) LTD.,RAJPUT STREET BADAMI BAGH,,7280957-8,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1295,ASAD STEEL RE-ROLLING MILLS,"STEET NO.61-A, NEW SHAD BAGH WASANPURA, MUHAMMADI MOHALLAH",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1296,ASAD STEEL RE-ROLLING MILLS,"WASANPURA, MALI PURA OPP. RAILWAY STEEL SHOP, LALPUL MUGHALPURA",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1297,ASAD STEEL RE-ROLLING MILLS,", SULTAN MAHMOOD ROAD, SHAHLIMAR TOWN",,6552277,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1298,ASHIQ STEEL RE-ROLLING MOMINPURA G.T. ROAD,,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1299,ASHRAF INDUSTRIES,"SULTAN MAHMOOD ROAD, SHALIMAR TOWN",,,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1300,ASIA STEEL FURNACE AND RE-ROLLING MILLS,PAKISTAN MINT RASHIDPURA,,6850607,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1301,ASIF BROTHERS,STEEL RE-ROLLING MILLS RASHIDPURA,,6817198,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1302,ASIF STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1303,ASIM & QASIM INDUSTRIES,BHANI ROAD SHADIPURA,,6545270,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1304,ASLAM INDUSTRIES,BHANI ROAD DAROGHAWALA,,6545270,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1305,ASLAM STEEL ROLLING MILLS,G.T. ROAD SALAMAT PURA,,6540225,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1306,AZAD STEEL RE-ROLLING MILLS,", NOOR ROAD, BADAMI BAGH",,7287476,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1307,AZHAR STEEL RE-ROLLING MILLS,LAKHODAIR ROAD SHALIMAR TOWN,,6860980,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
NEW-1308,BABO SHAHID STEEL RE-ROLLING MILLS,LAKHODAIR ROAD,,6861063,,IRON & STEEL RE-ROLLING MILLS,M.S. BAR
NEW-1309,BAJWA BROS STEEL RE-ROLLING MILLS,LAKHODHAIR ROAD,,6550837,,IRON & STEEL RE-ROLLING MILLS,M.S. PRODUCTS
