Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2487,ELMEC ENGINEERING WORKS 41-N/A GULBERG-II,,,5756175,,SEWING MACHINES / PARTS,SEWING MACHINE PARTS
NEW-2488,PILOT ENGINEERING CO. 48-N GULBERG-II,,,,,SEWING MACHINES / PARTS,SEWING MACHINE HANDLE
NEW-2489,SALIKA SEWING MACHINE CO. (PVT) LTD.,17/C DURAND ROAD GARHI SHAHU,,"6305960, 6304297",,SEWING MACHINES / PARTS,SEWING MACHINE BODIES
NEW-2490,SANDWELL FOUNDRY WORKS. 41-N/B,GULBERG-II,,,,SEWING MACHINES / PARTS,SEWING MACHINE HANDLE
NEW-2491,SHAFIQ INDUSTRIES,43-N GULBERG-II,,5760043,,SEWING MACHINES / PARTS,SEWING MACHINE BODIES
NEW-2492,ZAHID & CO. DAROGHAWALA G.T. ROAD,,,,,SEWING MACHINES / PARTS,SEWING MACHINES
