Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-2291,LALA TEXTILE,58 SUNDAR INDUSTRIAL ESTATE,,7922362,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2292,LAND MARK KNIT WEAR (PVT) LTD.,26 KM MULTAN ROAD,,"7540250, 7540260",,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2293,LEISURE TEXTILES (PVT) LTD.,23 KM. MULTAN ROAD,,"7540371-4,
7540378",,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2294,LIABA LOOKS INTERNATIONAL,"YAZDANI ROAD, HARBANSPURA",,6632101,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2295,LIAQAT GARMENTS ST.NO.2,"RASHID ROAD, BUND ROAD",,7723617,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2296,LIBAS TEXTILE LTD,"132/4, INDUSTRIAL ESTATE KOT LAKHPAT",,,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2297,LOTUS KNITWEAR 17KM FEROZEPUR ROAD,,,5822991,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2298,LUCKY GARAMENTS SUBEDAR ST. MALIK PARK,,,7227630,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2299,M. AKRAM READYMADE GARMENTS 21 KM.,FEROZEPUR ROAD,,0300-9433143,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2300,M. RAFI SONS,"GARMENTS INDUSTRIES (PVT) LTD., 10-A, BLOCK-I, INDUSTRIAL AREA GULSHAN-E-RAVI",,7413177,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2301,M. TALA FACTORY,ABU BAKAR COLONY BUND ROAD,,7414411,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2302,M.J.S TEXTILE (PVT) LTD.,123/5-B INDUSTRIAL ESTATE KOT LAKHPAT,,5118948,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2303,MARIA READYMADE GARMENTS,29.S. INDUSTRIAL AREA KOT LAKHPAT,,5141900-02,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2304,MASCO INTERNATIONAL 5/27 BILAL HABSHI STREET SUNG WAHGA .,,,7238359,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2305,MASH FASHION & APPAREL (PVT) LTD.,"5-7 FAROOQ INDUSTRIAL ESTATE GLAXO TOWN 20 KM., FEROZEPUR ROAD",,5273253-4,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2306,MASTER HAFT (PVT) LTD,17-KM OFF: FEROZEPUR RD ATTARI SORABA,,"5821672, 5824835",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2307,MATCO KNITWEAR (PVT) LTD.,", 629 SUNDAR INDUSTRIAL ESTATE",,"5156584, 5118142",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2308,MIAN SONS,"KNITTING (PVT) LTD., KOT LAKHPAT, INDUSTRIAL ESTATE",,5150860,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2309,MJS TEXTILE (PVT) LTD.,123/S INDUSTRIAL ESTATE KOT LAKHPAT,,"5113198, 5118948",,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2310,MR. DENIM (PVT) LTD.,", 53-F DENIM BOULEVARD INDUSTRIAL ESTATE KOT LAKHPAT",,"111347347,
www.mrdenim.com",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2311,MR. FABRICS (PVT) LTD,"ATTA BAKHSH ROAD, OFFICE 18-KM FEROZEPUR ROAD",,"5820676, 5821995",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2312,MUBARAK TEXTILE MILLS,"(PVT) LTD., 20-KM FEROZEPUR ROAD",,5271343,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2313,MUGHAL COMPANY 18-KM,OFF:FEROZEPUR ROAD,,5811585,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2314,MUHAMMAD RAFI SONS,GARMENTS (PVT) LTD 10/A  BLAOCK1-INDUSTRIAL GULSHAN RAVI,,7466987-9,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2315,MUSTAJAB INDUSTRIES,"(PVT) LTD., 23 KM FEROZEPUR ROAD",,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2316,N.I. APPARELS INTERNATIONAL,"13-N, INDUSTRIAL AREA, GULBERG-II",,"5871610-1,
www.nigroupco.com",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2317,N.J. GARMENTS 18 KAREEM BLOCK ALLAMA IQBAL TOWN,,,5422146,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2318,NASIR GARMENTS GULSHAN PARK M/PURA,NABIPUR ROAD,,0300-4698059,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2319,NAVEENA EXPORTS (PVT) LTD.,1 KM. DEFENCE ROAD BHOPTIAN CHOWK RAIWIND ROAD,,,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2320,NEEDLE POINT (PVT) LTD.,", 1/2 KM ON DEFENCE ROAD, OFF BHOPTIAN CHOWK, RAIWIND ROAD",,5321051-55,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2321,NIKKA'S TEXTILE PVT,"LTD., 157 MUZAMIL TOWN, 18KM MULTAN ROAD",,7510435,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2322,NOOR HABIB TEXTILE INDUSTRIES,"(PVT) LTD., KOT LAKHPAT",,35125077-8,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2323,PADANA GARMENTS (PVT) LTD.,", 17KM FEROZEPUR ROAD",,5875220,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2324,PAKISTAN (PVT) LTD.,", JULLKAY DARBAR 12KM FEROZEPUR ROAD",,5270990,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2325,PAKISTAN RAILWAYS CLOTHING FACTORY,INSIDE P R GENERAL STORES MOGHALPURA,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2326,PAKLON (PVT) LTD.,JULLKAY DARBAR 32-KM FEROZEPUR ROAD,,5270990,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2327,PAKWINZ INTERNATIONAL,"PLOT NO. 253. STREET NO. 56, MUJAHIDABAD MUGHALPURA",,6819481,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2328,PANJGON INTRNATINOAL OPP. CANAL VIEW SOCIETY,,,5425322,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2329,PANK CLOTHING TEXTILE COMMERCIAL AREA KARIM BLOCK ALLAMA IQBAL TOWN,,,"0300-4003474,
www.pankclothing.com",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2330,PEARL CREATION H.NO.10,ST.NO.5 ZAMAN PAK SANDA KALAN,,"7400857,  7400858",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2331,PEARL KNITWEAR (PVT) LTD,"22-KM, OFF:FEROZEPUR ROAD",,5272261-2,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2332,PENSY GARMENTS (PVT) LTD.,", 24.5 KM BEDIAN ROAD, FEROZEPUR ROAD",,5600110-6,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2333,PENSY GARMENTS (PVT) LTED.,10 SANDA ROAD,,7352631,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2334,PENTAGON INTERNATIONAL TEXTILE AND KNITWEAR 1-AHBAB COLONY 12 KM MULTAN ROAD,,,"5419184, 5425322,
www.pentagon_intl.org.p k",,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2335,POWER PACK SOLUTION (PVT) LTD.,", 239 SUNDAR INDUSTRIAL ESTATE",,5890101,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2336,PROGRESSIVE IMPEX (PVT) LTD.,"PLOT NO.183, SUNDAR INDUSTRIAL ESTATE, RAIWIND ROAD",,5797090,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2337,PROGRESSIVE KNITWEARS (PVT) LTD,23 KM FEROZEPUR ROAD,,5270871-2,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2338,QAI TEXTILES (PVT) LTD.,", 14TH KM MULTAN ROAD",,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2339,RAIQA KNITWEAR 48-KM JAIL ROAD (MR. DENIM ) INDUSTRIAL AREA KOT LAKHPAT,,,5120331,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2340,REHAN ENTERPRISES,27-KM FEROZEPUR ROAD PARWAN THAY STOP FEROZEPUR ROAD,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2341,REHMAN APPARELS 9 MASSON ROAD,,,"6361952, 6301951",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2342,REUDEZVOUS INTERNATIONAL 1567 MOJA SINGH VILLAGE MAIN ROHI DRAIN NEAR BADIAN ROAD,,,5601186,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2343,REVIVAL CLOTHING 114/31 KASHMIR ROAD GULBERG,,,5877459,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2344,RIAZ PARK ST.NO.55/A,"OUTFALL ROAD, SANAT NAGAR",,7225338,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2345,S.B. GARMENTS. 83.J. BLOCK GULSHAN RAVI,,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2346,S.N.A KNITTING 27 A D II,GREEN TOWN,,5114268,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2347,S.T. JOHNS GARMENTS 19-KM FEROZEPUR ROAD,,,5826606,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2348,SAFTEX (PVT) LTD.,FEROZEPUR ROAD NEAR SHAMI MOTOR 19/20-KM NISHTER TOWN,,5820606,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2349,SAJJAD KNITWEAR (PVT) LTD.,31-KM FEROZEPUR ROAD,,5271114-5,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2350,SALEEM GARMENTS,85-RAVI ROAD,,7729519,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2351,SAM INDUSTRIES,"(PVT) LTD., 18 KM. RAIWIND ROAD",,5330261-2,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2352,SANA GARMENTS SANDA KALAN,BUND ROAD,,7358840,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2353,SAPPHIRE KNITWEAR (PVT) LTD,"RAJPUT ROAD, VILL:KAMAHAN ROAD",,5820369,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2354,SARAH TEXTILES LTD.,24 KM MULTAN ROAD,,7540301-5,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2355,SARAH'S CLOTHING (PVT) LTD.,", 18KM MULTAN ROAD",,7511778,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2356,SAS TEXTILE INTERNATIONAL 14-NADEEM PARK BUND ROAD,,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2357,SAZ KNITTING (PVT) LTD.,25 KM. MULTAN ROAD,,7540103-4,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2358,SCOTTISH KNITWEAR 18 KM.,MULTAN ROAD OPP: HIGHNOON LAB.,,7511611-2,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2359,SHAH KAM INDUSTRIES,(PVT) LTD. DEFENCE ROAD 23 KM MULTAN ROAD,,"7540501-6,  111007777,
www.shahkam.com",,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2360,SHIRAZ & CO. (PVT) LTD.,", LAST MAIN STOP G.T. ROAD, BEHIND RAHMAT SHADI HALL .",,6558744-5,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2361,SIGMA KNITTING MILLS,LTD. 23 KM. RAIWIND ROAD,,5112066,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2362,SILCOT TEX (PVT) LTD,80-CHOHAN ROAD BUND ROAD,,7119884,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2363,SIPRA READYMADE GARMENTS (PVT) LTD.,", 240/S INDUSTRIAL AREA KOT LAKHPAT",,5150130,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2364,SKY FALL MUGHALPURA,BUND ROAD,,7214194,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2365,SNS TEXTILE (PVT) LTD.,", 17-D-II GREEN TOWN FACTORY AREA",,"5151888,
www.snstextile.com",,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2366,SOFT KNIT TEXTILE MILLS,(PVT) LTD. 30 KM RAIWIND ROAD,,6317344,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2367,SOFTEX PVT,"(LTD., FEROZEPUR ROAD, 19/20 NISHTAR TOWN",,5800606,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2368,SOHAIL TEXTILE 21-KM,OFF: FEROZEPUR ROAD,,5822237-8,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2369,SOLAR GAMENTS MUGHAL PARK SAGGIAN PUL BUND ROAD,,,7350324,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2370,SOXLINKS INTERNATIONAL,545 SUNDAR INDUSTRIAL ESTATE,,7230156-7,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2371,STAR SPORTS WEAR 222-INDUSTRIAL ESTATE KOT LAKHPAT,,,5112222-5,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2372,STAR WEAR KNITWEAR DEFENCE ROAD,ADDA MOHLANWAL MULTAN ROAD,,7541392,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2373,STICHWELL GARMENTS 19 JINNAH ROAD,NATIONAL TOWN,,7218328,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2374,STYLE ENTERPRISES,(PVT) LTD. KAMRAN ROAD (BANK STOP) 16 KM FEROZEPUR ROAD,,5822925-7,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2375,STYLE TEXTILE PVT,"LTD., 126/3, KOT LAKHPAT, INDUSTRIAL ESTATE",,5113066,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2376,STYLERS INDUSTRIAL (PVT) LTD.,", 20 KM FEROZEPUR ROAD",,5274471-3,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2377,SUBHAN KNITWEAR,"22 KM., FEROZEPUR ROAD",,5275792-5,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2378,SULTAN GARMENTS ST.NO.55.A OUTFALL ROAD,NEAR BEV HALL SANAT NAGAR,,7151414,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2379,SUMMAIR TRADERS 32.CIVIC CENTER MOON MARKET GULSHAN-E-RAVI .,,,7410465,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2380,SUPRA FASHIONS (PVT) LTD.,", 43.52 KHAYBAN-E-KARIM 19KM FEROZEPUR ROAD",,5822399,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2381,SUZI FASHION FURKHABAD BARADARI ROAD SHAHDARA,,,7933687,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2382,TANS TEXTILE RAILWAY PLAZA KAREEM PLAZA BLOCK IQBAL TOWN,,,5426003,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2383,TANVEER TEXTILES 7 KM RAIWIND ROAD,,,5320073-74,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2384,TASKEEN TRADERS 20.B GHAZIABAD,SANDA ROAD,,7322434,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2385,TASS INTERNATIONAL 21.KM FEROZEPUR ROAD,,,5273692,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2386,TEE JAY CORPORATION (PVT.) LTD.,", PLOT NO.80-81, SMALL INDUSTRIAL ESTATE, KOT LAKHPAT",,5122280,,READYMADE GARMENTS,BATH ROBES
NEW-2387,TEXTRADE GARMENTS (PVT) LTD,24-SULTAN ST ALSMOOT ROAD,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2388,TEXTRADE INTERNATIONAL 10 M. INDUSTRIAL AREA KOTLAKHPAT,,,5124586,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2389,THE CRAZE IST. FLOOR WATTO PLAZA TOWN SHIP,,,5118771,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2390,TRANS TEXTILE RAILY PLAZA KAREEM BLOCK ALLAMA IQBAL TOWN,,,5426003,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2391,TUJZA GARMENTS 32.CIVIC CENTRE MOON MARKET,GULSHAN-E-RAVI .,,7465454,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2392,UNITECH INTERNATIONAL (PVT) LTD.,9 HOLIDAY PARK MUSHRAFABAD RAIWIND ROAD,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2393,UNITED TEX. 21.KM FEROZEPUR ROAD,NEW LUCKY HOTEL FIAZI STREET,,5272820,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2394,UNIVERSAL COMPANY PK,"37-S INDUSTRIAL ESTATE, KOT LAKHPAT",,5120792,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2395,UNIVERTH DRESCO RAILAY PLAZA,KAREEM BLOCK ALLAMA IQBAL TOWN,,5433355,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2396,US APPAREL AND TEXTILE (PVT) LTD,26-M GULBERG-III,,5320029-34,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2397,USMAN KNITWEAR,"ATTA BAKHSH ROAD, BUND STOP, 17 K.M. FEROZEPUR ROAD",,5805201,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2398,WYNE TEXTILE INDUSTRIES,(PVT) LTD DEFENCE ROAD NEAR KAHNA KACHA RAILWAY STATION,,5271475,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2399,Z.D. 2 KM. FROM BHOPTIAN OFF 10 KM. RAIWIND ROAD,,,,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2400,ZAHID SHAFI ISMAIL TARIQ ROAD,MAIN RAIWIND ROAD,,0300-4320956,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2401,ZAINAL TEXTILES (PVT) LTD.,22-KM OFF FEROZEPUR ROAD,,5271720-8,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2402,ZANIL GARMENT & SOCKS,"28 KM., FEROZEPUR ROAD",,5270925,,READYMADE GARMENTS,READYMADE GARMENTS
NEW-2403,ZARKAM INDUSTRIES,(PVT) LTD. 1 KM. DEFENCE ROAD 23 KM. MULTAN ROAD,,,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2404,ZEB KNIT WEAR (PVT) LTD.,10 KM. MULTAN ROAD,,5221231,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2405,"ZIMBIS KNITWEAR, (PVT) LTD.",",",,5321641,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2406,ZUCHINI INDUSTRIES,"PAKISTAN (PVT) LTD., 23 KM., RAIWIND ROAD",,5321845-9,,READYMADE GARMENTS,KNITTED GARMENTS
NEW-2407,ZULFIQAR KNITTING 156-INDUSTRIAL ESTATE KOT LAKHPAT,,,,,READYMADE GARMENTS,KNITTED GARMENTS
