Mship No,Company Name,Address,Name,Ph (Off),Email,Business Sector(s),Business Speciality
NEW-1846,ABDUL RAZZAQ ENGIEERING WORKS SALAMATPURA,"MORE G.T. ROAD, DAROGHAWALA",,6542897,,MOTORS / PUMPS,TURBINE
NEW-1847,HILAL ENGINEERING CO. (PVT) LTD.,2-KM MULTAN ROAD,,7830222,,MOTORS / PUMPS,ELECTRIC MOTORS
NEW-1848,KISSAN TUBEWELL ENGINEERS 56-BRANDRETH ROAD,,,7356325-7234969,,MOTORS / PUMPS,PUMPS
NEW-1849,MECO (PVT) LTD,PECO ROAD KOT LAKHPAT,,5836994,,MOTORS / PUMPS,PUMPS
NEW-1850,RECO ELECTRIC WORKS INDUSTRIAL. AREA GULSHAN-E-RAVI,,,7412741,,MOTORS / PUMPS,ELECTRIC MOTORS
NEW-1851,S.A BROS. (PVT) LTD.,337-G.T.ROAD DROGHAWALA,,6552431,,MOTORS / PUMPS,ELECTRIC MOTORS
NEW-1852,SHAZ ENTERPRISES,1-CHAMBERLANE ROAD,,7240663,,MOTORS / PUMPS,PUMPS
